what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1365249085721
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1365249085723
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1365249085758
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1365249085814
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1365249085871
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1365249086205
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1365249086233
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1365249086291
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1365249086381
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1365249086394
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1365249086415
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1365249086415
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1365249086439
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1365249086462
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1365249086511
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1365249086573
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1365249086668
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1365249086684
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1365249086750
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1365249086893
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1365249086959
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1365249087044
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1365249087121
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1365249087148
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1365249087274
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1365249087305
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1365249087378
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1365249087479
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1365249087609
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1365249087629
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1365249087694
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1365249087746
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1365249087785
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1365249087939
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1365249087970
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1365249088066
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1365249088119
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1365249088161
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1365249088294
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1365249088395
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1365249088484
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1365249088580
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1365249088672
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1365249088736
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1365249088796
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1365249088879
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1365249088991
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1365249089076
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1365249089134
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1365249089181
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1365249089424
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1365249089425
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1365249089495
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1365249089577
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1365249089662
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1365249089662
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1365249089730
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1365249089759
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1365249089832
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1365249089932
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1365249090039
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1365249090056
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1365249090132
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1365249090194
started,bundle,com.adobe.flash.codemodel.core,4.6.0.325268,"com.adobe.flash.codemodel.core",1365249090215
started,bundle,com.adobe.flash.codemodel.osgi,4.6.0.325268,"com.adobe.flash.codemodel.osgi",1365249090274
started,bundle,com.adobe.flashbuilder.multiplatform.android.ui,4.6.0.325268,"com.adobe.flashbuilder.multiplatform.android.ui",1365249090415
started,bundle,com.adobe.flashbuilder.multiplatform.ios.ui,4.6.0.325268,"com.adobe.flashbuilder.multiplatform.ios.ui",1365249090503
started,bundle,com.adobe.flashbuilder.project.multiplatform.ui,4.6.0.325268,"com.adobe.flashbuilder.project.multiplatform.ui",1365249090621
started,bundle,com.adobe.flexbuilder.dcrad,4.6.0.325268,"com.adobe.flexbuilder.dcrad",1365249090706
started,bundle,com.adobe.flexbuilder.debug.ui,4.6.0.325268,"com.adobe.flexbuilder.debug.ui",1365249090821
started,bundle,com.adobe.flexbuilder.editorcore,4.6.0.325268,"com.adobe.flexbuilder.editorcore",1365249090848
started,bundle,com.adobe.flexbuilder.editors.derived,4.6.0.325268,"com.adobe.flexbuilder.editors.derived",1365249090861
started,bundle,com.adobe.flexbuilder.exportimport,4.6.0.325268,"com.adobe.flexbuilder.exportimport",1365249090902
started,bundle,com.adobe.flexbuilder.flashbridge,4.6.0.325268,"com.adobe.flexbuilder.flashbridge",1365249090957
started,bundle,com.adobe.flexbuilder.flex,4.6.0.325268,"com.adobe.flexbuilder.flex",1365249090996
started,bundle,com.adobe.flexbuilder.multisdk,4.6.0.325268,"com.adobe.flexbuilder.multisdk",1365249091049
started,bundle,com.adobe.flexbuilder.mxmlmodel,4.6.0.325268,"com.adobe.flexbuilder.mxmlmodel",1365249091099
started,bundle,com.adobe.flexbuilder.project,4.6.0.325268,"com.adobe.flexbuilder.project",1365249091100
started,bundle,com.adobe.flexbuilder.project.ui,4.6.0.325268,"com.adobe.flexbuilder.project.ui",1365249091154
started,bundle,com.adobe.flexbuilder.utils.osnative,4.6.0.325268,"com.adobe.flexbuilder.utils.osnative",1365249091180
started,bundle,com.adobe.flexide.amt,4.6.0.325268,"com.adobe.flexide.amt",1365249091203
started,bundle,com.adobe.flexide.editorcore,4.6.0.325268,"com.adobe.flexide.editorcore",1365249091270
started,bundle,com.adobe.flexide.externaleditors,4.6.0.325268,"com.adobe.flexide.externaleditors",1365249091277
started,bundle,com.adobe.flexide.launching,4.6.0.325268,"com.adobe.flexide.launching",1365249091300
started,bundle,com.adobe.flexide.launching.multiplatform,4.6.0.325268,"com.adobe.flexide.launching.multiplatform",1365249091460
started,bundle,com.adobe.flexide.multiplatform.android,4.6.0.325268,"com.adobe.flexide.multiplatform.android",1365249091559
started,bundle,com.adobe.flexide.multiplatform.ios,4.6.0.325268,"com.adobe.flexide.multiplatform.ios",1365249091587
started,bundle,com.adobe.flexide.nativelibs,4.6.0.325268,"com.adobe.flexide.nativelibs",1365249091616
started,bundle,com.adobe.flexide.project.multiplatform,4.6.0.325268,"com.adobe.flexide.project.multiplatform",1365249091667
